我的账户	101000
个人贷款，需要什么条件	个人贷款申请人的基本条件：1.具有基本完全民事行为能力，年龄加贷款期限原则上不得超过60岁；2.具有稳定的收入来源，具备按期还本付息能力；3.个人及其配偶信用状况良好，在金融机构无重大不良信用记录；4.能够提供合法、足值的抵质押担保或经我行认可的有效保证担保；5.借款用途必须合法合规；6.贷款申请数额、期限币种合理；7.我行要求的其他条件。
个人贷款逾期还款是否会产生罚息	如需了解贷款逾期后的罚息情况，建议您查看贷款合同规定或联系贷款经办网点进行具体核实。
个人贷款什么情况下算逾期	扣息日或贷款到期日当天账户余额不足以偿还当期利息或贷款余额的情况即为逾期。
申请公积金贷款的要求	凡按时足额缴存住房公积金，并具有完全民事行为能力的职工，购买、建造、大修、翻建自住住房的，均可申请公积金贷款。
公积金贷款额度是多少	公积金贷款额度：1.购买商品房或经济适用房的，最高贷款额不得高于购房总价款的70%；购买二手房或单位集资所建房屋的，不得高于购房总价款的60%；2.贷款最高额度不得超过抵押物现有价值的70%；以有价证券作质押担保的，不得超过有价证券面值的90%，并以有价证券到期日为贷款期限；3.借款人的贷款额度按照借款人及共同借款人月收入情况确定。
申请个人消费贷款需要什么资料	申请个人消费贷款需要的资料：1.个人贷款申请表；2.身份证、户口簿、结婚证、借款人及其配偶的职业、收入证明；3.贷款用途的相关证明材料。
申请个人经营贷款需要什么资料	申请个人经营贷款需要的资料：1.身份证明文件、户口本、结婚证；2.营业执照、特殊行业经营许可证；3.房产证、土地证及其他证明文件；4.银行对账单、纳税凭证；5.其他需要提供的材料。
需要贷款应到哪家网点办理	我各支行网点均可受理贷款产品业务。如申请小微贷款产品可通过拔打我行客服热线400-677-0537人工查询就近小微信贷中心位置。
申请通过的贷款什么时候放款	如需查询放款时间，您可在与我行签订的贷款合同中查询。此外，您还可联系贷款经办网点进行查询。
申请公司类贷款，需要什么条件	申请公司类贷款的基本条件：1.恪守信用，有按期还本付息的能力；2.已在当地工商行政机关办理年检手续；3.在我行开立基本账户或一般存款账户；4.有限责任公司和股份有限公司对外股本权益性投资累计不超过净资产的50%；5.资产负债率符合贷款人的要求；6.申请中长期贷款，新建项目的企业法人所有者权益与所需总投资的比例不低于国家规定的投资项目的资本金比例。
申请公司类贷款时应提供哪些资料	申请公司类贷款需要的资料：1.借款申请书；2.经过年检的营业执照、组织机构代码证、贷款卡、税务登记证；3.公司章程、验资报告；4.上一年度和最新一期财务报表及生产经营、物资材料供应、产品销售有关统计资料；5.特殊行业的还需要提供特种经营许可证等有关资质证明； 6.客户在银行开立基本账户情况和原有借款还本付息情况；7.购销合同复印件或反映资金需求的有关凭证资料；8.银行需要的其他资料。
贷款担保人应提供哪些材料	贷款保证担保，保证人应提供的担保资料，与借款人相同。
下岗再就业贷款，需要什么条件	下岗再就业贷款的基本条件：1.借款申请人为持有劳动保障部门颁发的《再就业优惠证》人员，身体健康，诚实守信，有一定劳动技能和固定住所，年龄加贷款期限不超过60。2.借款申请人需有具体的经营项目，且自筹资金不足的，方可提出贷款申请。3.借款申请必须经劳动保障部门进行资格认定，取得担保机构的担保承诺，并提供本行认可的担保。4.下岗失业人员申请借款应按属地管理原则，由所在社区和劳动保障部门组织进行。
贷款还款日是几号	每月20日为贷款还款日，由系统自动从贷款账户中扣收。
什么是微贷宝	微贷宝是济宁银行引进国际先进贷款技术进行本土化改造推出的一项全新贷款业务品种，专门为个体工商户、小微企业主提供5千元至50万元的资金支持。以专业化的信贷团队，标准化的服务流程，让客户在3—5个工作日即可获得贷款的机会。
微贷宝系列产品	微贷宝系列产品包括：1.“速贷通”贷款；2.“商贸通”贷款；3.“路路通”贷款；4.“惠农宝”贷款；5.“工贸通”贷款。
什么是出租车速贷通贷款	出租车速贷通贷款为经营出租车期限三个月以上更新车辆及购买营运证的客户设计，贷款期限为3个月到3年，贷款额度5000元至15万元（更新车辆最多支持购车金额的70%，购买营运证最多支持30%）还款方式建议为按月等额本息还款。
什么是商贸通贷款	商贸通贷款为从事商业贸易流通类经营期限超过3个月以上的个体工商户、小微企业设计，贷款期限为3个月到2年，贷款额度5000元至50万，建议采用按月等额本息还款、按月还息按季还本等灵活还款方式。
什么是路路通贷款	路路通贷款为运营客运、货运车辆三个月以上，更新车辆的客户设计，贷款期限为3个月到2年，贷款额度5000元至50万，还款方式建议为按月等额本息还款。
什么是惠农宝贷款	惠农宝贷款为经营期限两年且至少两个养/种植周期农业养殖、种植类等的农户、小微企业设计，贷款期限为3个月到2年，贷款额度5000元至50万，还款方式根据客户种养殖的对象以及客户的实际种养殖情况决定。
什么是工贸通贷款	工贸通贷款为从事工业贸易、生产加工类经营期限超过3个月以上的个体工商户、小微企业设计，贷款期限为3个月到2年，贷款额度5000元至50万，还款方式建议为按月等额本息还款、按月还息按季还本还款。
公积金贷款利率是多少	公积金贷款利率按照中国人民银行和市住房公积金管理中心有关规定执行。
小微企业贷款需要什么条件	小微企业贷款基本条件：1.贷款额度在十万元以下，经营生意且经营生意期限满三个月，要求找一个年收入为申请人申请金额一半的担保人。2.贷款额度在十万元或者十万元以上，经营生意要求满一年。要求找一个年收入为申请人申请金额一半的担保人且担保人需要有一套房产。
